网游名称,画面,画风,开发商,运营商,题材,模式,收费,评论,类型,开发时间,背景
铁甲雄兵,3D,写实,云蟾游戏,云蟾游戏(大陆),历史,即时,未确定,139,MOBA,"游戏于2016年09月入库，
                  共3次测试","《铁甲雄兵》是云蟾游戏旗下Evolution工作室自主研发的冷兵器军团竞技网游。运用自主Evolution引擎，还原真实冷兵器古战场。玩家可以操作平行世界中的中西方著名武将，率领世界强军，与全球玩家一教高下。
《铁甲雄兵》包含军团竞技和武将竞技等玩法，阵前即时战略...          
        <div>
          《铁甲雄兵》是云蟾游戏旗下Evolution工作室自主研发的冷兵器军团竞技网游。运用自主Evolution引擎，还原真实冷兵器古战场。玩家可以操作平行世界中的中西方著名武将，率领世界强军，与全球玩家一教高下。
《铁甲雄兵》包含军团竞技和武将竞技等玩法，阵前即时战略制定与不同军团的兵种搭配，在考验玩家们操作水平的同时，也时刻考验着玩家们的大局观与配合默契度。在全力发挥自主Evolution引擎潜力的同时，《铁甲雄兵》所有角色动作捕捉均由好莱坞级动作捕捉工作室Hot Motion Studio协助指导完成，并由知名配音导演黄莺全程指导配音工作，为玩家带来真实冷兵器近身格斗与爽快斩杀的战场体验。        </div>
      
      [查看详细]"
古剑奇谭网络版,3D,写实,上海烛龙,欢聚游戏(大陆),玄幻,即时,计时收费,4061,大型角色扮演,"游戏于2012年01月入库，
                  共5次测试",《古剑奇谭网络版》（游戏原名，简称《古剑OL》）是著名国产单机游戏《古剑奇谭》的网游版，游戏采用德国Vision引擎开发。据悉游戏为即时制，并将采用计时收费。
武圣,3D,半写实,光环游戏,,奇幻,即时,道具收费,2814,大型角色扮演,"游戏于2015年09月入库，
                  共14次测试","《武圣》是以奇幻武侠为视角，3D引擎打造，将传统武侠与架空玄幻紧密结合的PK网游。游戏回归经典PK模式，一键切换攻击模式，全地图自由PK，杀红名掉装备，打BOSS爆极品,无阵营强PK,虐杀模式副本等玩法,让玩家体验到自由PK的激情和快感！"
变形金刚,3D,写实,腾讯,腾讯(大陆),科幻,即时,道具收费,140,第一人称射击,"游戏于2016年07月入库，
                  共4次测试","《变形金刚》是腾讯游戏自主研发的首款3D变形金刚题材的公平英雄射击对战游戏，采用强大的虚幻4引擎，是比肩国际顶尖水平的次世代网络游戏。战斗环境描绘了塞伯坦星球、宇宙空间站、地球城市、沙漠等现实与科幻结合的多元化世界，战斗过程再现了变形金刚科幻的热武器...          
        <div>
          《变形金刚》是腾讯游戏自主研发的首款3D变形金刚题材的公平英雄射击对战游戏，采用强大的虚幻4引擎，是比肩国际顶尖水平的次世代网络游戏。战斗环境描绘了塞伯坦星球、宇宙空间站、地球城市、沙漠等现实与科幻结合的多元化世界，战斗过程再现了变形金刚科幻的热武器战斗以及金属碰撞的暴力美学。《变形金刚》还原了电影与动画中擎天柱、大黄蜂、威震天等生动的人物性格，赋予每个变形金刚独特的战斗个性，完美地在战斗中融入了射击、近战、变形、技能等丰富的游戏元素。        </div>
      
      [查看详细]"
逍遥江湖零,2D,半写实,珠海心游,珠海心游(大陆),武侠,即时,道具收费,59,大型角色扮演,"游戏于2017年03月入库，
                  共2次测试","《逍遥江湖零》是心游科技自主研发的2D武侠PK网游，游戏拥有唯美的游戏画面、经典的五行相克及无锁定PK，此外，在群战玩法、装备养成、帮会社交、门派技能等方面也进行了创新，并加入了PK爆随机神装、跨服领土战、玩家自创门派等玩法，是一款为喜爱武侠PK的玩家打造...          
        <div>
          《逍遥江湖零》是心游科技自主研发的2D武侠PK网游，游戏拥有唯美的游戏画面、经典的五行相克及无锁定PK，此外，在群战玩法、装备养成、帮会社交、门派技能等方面也进行了创新，并加入了PK爆随机神装、跨服领土战、玩家自创门派等玩法，是一款为喜爱武侠PK的玩家打造的新作。        </div>
      
      [查看详细]"
雷神之锤：冠军,3D,写实,,Bethesda(欧美),科幻,即时,未确定,11,第三人称射击,"游戏于2017年05月入库，
                  共1次测试",《雷神之锤：冠军》（暂译，Quake Champions）是由id Software制作、Bethesda发行的一款第一人称射击游戏。《雷神之锤：冠军》作为与《毁灭战士》同样玩法的游戏，其重启版同样将采用id最新引擎打造，并且支持双倍60帧率，专为电竞打造。
剑灵,3D,半写实,NCsoft,腾讯(大陆),奇幻,即时,免费,50065,大型角色扮演,"游戏于2008年08月入库，
                  共6次测试","《剑灵》（Blade & Soul）是韩国网络游戏著名开发商NCsoft开发的大型3D MMORPG奇幻网络游戏。游戏于2008年首次曝光，这是一款试图摆脱单调的游戏方式，让玩家体验新乐趣的奇幻武侠动作MMORPG。游戏由《天堂2》的开发总监负责开发，知名画面设计师担任美工，虽然...          
        <div>
          《剑灵》（Blade &amp; Soul）是韩国网络游戏著名开发商NCsoft开发的大型3D MMORPG奇幻网络游戏。游戏于2008年首次曝光，这是一款试图摆脱单调的游戏方式，让玩家体验新乐趣的奇幻武侠动作MMORPG。游戏由《天堂2》的开发总监负责开发，知名画面设计师担任美工，虽然已经删除了一批太过于暴露的角色，但游戏现有的女角色还是非常的性感。        </div>
      
      [查看详细]"
剑网3,3D,半写实,金山软件,金山软件(大陆),武侠,即时,免费,8167,大型角色扮演,"游戏于2006年09月入库，
                  共21次测试",《剑侠情缘网络版叁》（以下简称剑网3）是由国内知名游戏厂商西山居自主研发并运营的一款大型3D武侠网游，游戏以多样化的轻功玩法为主要特色，凭借自主研发的“国家863计划”引擎与浓郁的武侠氛围相结合，展现出一个恢弘壮丽的大唐世界。
无畏战舰,3D,写实,Yager,Yager(欧美),科幻,即时,未确定,22,第三人称射击,"游戏于2015年08月入库，
                  共1次测试","《无畏战舰》由虚幻4引擎打造，游戏设定在一个飞船战争时代，玩家将扮演一个雇佣飞船船长，不属于任何国家，为了银河系的和平而战斗。游戏中玩家将带领大批舰队征战太空，可以对飞船的任何部分进行单独定制，从发动机到装甲，从武器能力到机组人员，都由玩家来随意组...          
        <div>
          《无畏战舰》由虚幻4引擎打造，游戏设定在一个飞船战争时代，玩家将扮演一个雇佣飞船船长，不属于任何国家，为了银河系的和平而战斗。游戏中玩家将带领大批舰队征战太空，可以对飞船的任何部分进行单独定制，从发动机到装甲，从武器能力到机组人员，都由玩家来随意组合。        </div>
      
      [查看详细]"
新天龙八部,3D,半写实,畅游,畅游(大陆),武侠,即时,道具收费,6685,大型角色扮演,"游戏于2006年06月入库，
                  共14次测试","《新天龙八部》（曾用名：天龙八部）是搜狐畅游（NASDAQ：CYOU）旗下的一款3D武侠网游，游戏采用自主研发的CycloneⅣ引擎。在金庸先生的授权下展开对原著角色的新的解读。目前，2014年度资料片“雄霸天下”已正式公开，全球亿万玩家将在跨服战场“天外...          
        <div>
          《新天龙八部》（曾用名：天龙八部）是搜狐畅游（NASDAQ：CYOU）旗下的一款3D武侠网游，游戏采用自主研发的CycloneⅣ引擎。在金庸先生的授权下展开对原著角色的新的解读。目前，2014年度资料片&ldquo;雄霸天下&rdquo;已正式公开，全球亿万玩家将在跨服战场&ldquo;天外江湖&rdquo;中，与&ldquo;南慕容北乔峰&rdquo;一起开辟新的武林传说！        </div>
      
      [查看详细]"
极品飞车OL,3D,写实,EA,腾讯(大陆),现代,即时,未确定,1420,竞速,"游戏于2015年11月入库，
                  共5次测试","《极品飞车ONLINE》（代理前曾用名：《极品飞车：边缘》）是EA旗下有着20余年发行历史的全球第一竞速游戏系列——《极品飞车》系列的网游版续作，由EA首尔工作室SPEARHEAD基于《极品飞车18》开发，并采用“寒霜3”引擎打造。《极品飞车ONLINE》...          
        <div>
          《极品飞车ONLINE》（代理前曾用名：《极品飞车：边缘》）是EA旗下有着20余年发行历史的全球第一竞速游戏系列&mdash;&mdash;《极品飞车》系列的网游版续作，由EA首尔工作室SPEARHEAD基于《极品飞车18》开发，并采用&ldquo;寒霜3&rdquo;引擎打造。《极品飞车ONLINE》拥有包括兰博基尼在内的全球众多顶级汽车品牌授权车辆总数300辆以上，并通过3A级的画面品质，带给玩家真实狂野的赛车体验。        </div>
      
      [查看详细]"
吞噬苍穹,3D,写实,灵石游戏,,玄幻,即时,免费,3345,大型角色扮演,"游戏于2012年04月入库，
                  共11次测试",《吞噬苍穹》是由珠海心游科技和灵石游戏联合推出的一款大型3D飞行空战修仙网游。游戏以3D画面和飞行空战为核心，同时引入渡劫飞升、变身形态、洞府、法宝等玄幻元素，游戏具有多层空战、法宝系统等内在特色玩法。
圣迹,2D,半写实,小弟游戏,小弟游戏(大陆),魔幻,即时,道具收费,462,大型角色扮演,"游戏于2015年08月入库，
                  共4次测试","《圣迹》是小弟游戏自主研发和运营的一款西方魔幻类角色扮演MMORPG网络游戏。在游戏中玩家可以体验到人魔激战、夺城抢地、战场PK等PVP核心玩法，并拥有角色成长、人神合体、神宠护佑、城堡建设、生活技能等多元化养成PVE趣味玩法。整个游戏充满了魅力，画风精致，剧...          
        <div>
          《圣迹》是小弟游戏自主研发和运营的一款西方魔幻类角色扮演MMORPG网络游戏。在游戏中玩家可以体验到人魔激战、夺城抢地、战场PK等PVP核心玩法，并拥有角色成长、人神合体、神宠护佑、城堡建设、生活技能等多元化养成PVE趣味玩法。整个游戏充满了魅力，画风精致，剧情生动，独具西方魔幻色彩的世界将给玩家带来一场新奇、有趣的游戏体验。&nbsp;        </div>
      
      [查看详细]"
伏魔传,3D,半写实,凛冬网络,珠海心游(大陆),玄幻,即时,道具收费,239,大型角色扮演,"游戏于2016年08月入库，
                  共5次测试",《伏魔传》是珠海心游科技运营的暗黑仙侠PK网游。《伏魔传》采用3D视角画面效果、无锁定极致自由战斗模式，移动跑位型宗门阵法、开放世界个人家园、希望能够给玩家带来更真实的战斗体验。
天堂永恒,3D,写实,NCsoft,NCsoft(韩国),奇幻,即时,未确定,3808,大型角色扮演,"游戏于2011年11月入库，
                  共1次测试","《天堂永恒》（英文原名：Lineage Eternal）是韩国网游大厂NCsoft开发的天堂系列最新MMORPG，当战场的鼓与巨人的吼叫齐声共鸣，扮演英雄的你正展开传说之旅。《天堂永恒》与《天堂》、《天堂2》共享世界观，描述在遭到持续两百年的镇压与恐怖统治下，为了对抗恐怖斗...          
        <div>
          《天堂永恒》（英文原名：Lineage Eternal）是韩国网游大厂NCsoft开发的天堂系列最新MMORPG，当战场的鼓与巨人的吼叫齐声共鸣，扮演英雄的你正展开传说之旅。《天堂永恒》与《天堂》、《天堂2》共享世界观，描述在遭到持续两百年的镇压与恐怖统治下，为了对抗恐怖斗争的英雄故事。        </div>
      
      [查看详细]"
巫师之昆特牌,2D,半写实,CD Projekt,盖娅互娱(大陆),魔幻,回合,未确定,32,集换卡牌,"游戏于2017年02月入库，
                  共2次测试","《巫师之昆特牌》是脱胎于《巫师3：狂猎》中广受好评的同名卡牌游戏，《巫师之昆特牌》整局游戏大概15分钟，游戏刚开始时玩家有10张牌，玩家必须精心部署自己的卡牌，才能生存。每张卡牌都有战斗值，分为近战、远程、攻城三大类型，同一类型的单位牌要成排放置在战场...          
        <div>
          《巫师之昆特牌》是脱胎于《巫师3：狂猎》中广受好评的同名卡牌游戏，《巫师之昆特牌》整局游戏大概15分钟，游戏刚开始时玩家有10张牌，玩家必须精心部署自己的卡牌，才能生存。每张卡牌都有战斗值，分为近战、远程、攻城三大类型，同一类型的单位牌要成排放置在战场指定区域中。游戏分为四大势力，特殊牌还会有特效。《巫师之昆特牌》不仅有PVP的对战模式，也将包含单人战役模式。        </div>
      
      [查看详细]"
太极2,3D,写实,常州云游,珠海心游(大陆),武侠,即时,道具收费,6841,大型角色扮演,"游戏于2014年11月入库，
                  共13次测试",《太极2》是珠海心游科技2016年推出的大型3D/2.5D双视角武侠网游，游戏以金庸著名古典武侠小说《倚天屠龙记》为蓝本，还原小说剧情，精细地刻画了多种门派特性和技法，融入了双阵营特色及大量武侠经典的PK玩法，力图为玩家展现一个纯正国风、热血激情的武侠江湖。
影武者,2.5D,半写实,星辰互动,冰川网络(大陆),玄幻,即时,道具收费,142,大型角色扮演,"游戏于2016年08月入库，
                  共2次测试",《影武者》由业内资深团队历时四年研发，游戏以中国经典西游神话为背景，倾力打造面积超7000万平米的宏大东方幻想世界，游戏当前开放了两大阵营、三大职业、四大人物体型可供玩家选择，通过多样的成长体系与丰富的玩法，为每个玩家打造一份独一无二的游戏经历。
地下城与勇士,2D,半Q版,Neople,腾讯(大陆),奇幻,即时,道具收费,2256,动作角色扮演,"游戏于2005年09月入库，
                  共3次测试","韩国网络游戏公司NEOPLE开发的《地下城与勇士》，是少见的横版格斗过关式网络游戏。该游戏中与其他网络游戏同样具有装备与等级的改变，并拥有共500多种装备道具。每个人物有8个道具装备位置，在游戏中可以允许最多4个玩家进行组队挑战关卡，同样也可以进行4对4的PK。...          
        <div>
          韩国网络游戏公司NEOPLE开发的《地下城与勇士》，是少见的横版格斗过关式网络游戏。该游戏中与其他网络游戏同样具有装备与等级的改变，并拥有共500多种装备道具。每个人物有8个道具装备位置，在游戏中可以允许最多4个玩家进行组队挑战关卡，同样也可以进行4对4的PK。由于游戏系统而决定了该游戏的硬件要求并不高。        </div>
      
      [查看详细]"
天涯明月刀,3D,写实,腾讯,腾讯(大陆),武侠,即时,免费,10105,大型角色扮演,"游戏于2012年11月入库，
                  共7次测试",《天涯明月刀》是由腾讯北极光工作室研发的3D武侠题材MMORPG网络游戏，在2012TGC上曝光。游戏以做电影的方式去做网游，融合了两种艺术，也参杂进了轻功系统。
魔域,2.5D,半写实,网龙公司,网龙公司(大陆),奇幻,即时,免费,659,大型角色扮演,"游戏于2006年02月入库，
                  共7次测试","《魔域》是网龙公司自主研发的大型魔幻题材网络游戏，以一人多宠的""幻兽系统""、""导师系统""、""副本系统""以及各种职业技能、武器装备锻造系统作为主打特色，融合中西方的游戏元素，采用四版本一客户端同时运营的模式，打造出美轮美奂的游戏画面和流畅华丽的人物动作。"
幻影：秘法战争,3D,半Q版,Torn Banner Studios,,奇幻,即时,未确定,8,动作角色扮演,"游戏于2016年03月入库，
                  共2次测试",《幻影：秘法战争》中玩家可以运用强大的魔法或是用武器来撕裂敌人，游戏主要描述一个遭到内战破坏和平的幻想世界，手持武器与会运用魔法的人带来了暴力与死亡，他们在阿拉伯与波斯风味的沙漠世界、宫殿中展开了残酷的战斗。
逍遥江湖3,2D,写实,珠海心游,珠海心游(大陆),武侠,即时,免费,1485,大型角色扮演,"游戏于2012年03月入库，
                  共15次测试",《逍遥江湖3》是珠海心游科技有限公司开发的大型2D武侠PK网游，曾获创新工场和西山居联合投资。游戏内有多种大型热血PK玩法，还可挂机升级，旨在为玩家打造一个好玩不累、有情有义的真江湖。
九阴真经2,3D,写实,蜗牛公司,蜗牛公司(大陆),武侠,即时,未确定,370,大型角色扮演,,"九阴真经2，是蜗牛游戏3D武侠沙盒革新巨作。《九阴真经2》基于《九阴真经》端游的真武侠理念，采用全新虚幻4（UE4）引擎打造。一方面沿袭《九阴真经》的武侠理念，以丰富的武学、轻功内容为基础，贯彻九阴系列一直以来的武侠根本；另一方面藉由技术、玩法以及游戏理...          
        <div>
          九阴真经2，是蜗牛游戏3D武侠沙盒革新巨作。《九阴真经2》基于《九阴真经》端游的真武侠理念，采用全新虚幻4（UE4）引擎打造。一方面沿袭《九阴真经》的武侠理念，以丰富的武学、轻功内容为基础，贯彻九阴系列一直以来的武侠根本；另一方面藉由技术、玩法以及游戏理念上的融合交汇，实现武侠题材的产品级进化，游戏将采用非线性的沙盒模式设定，为玩家打造完全真实、独立、自由的世界。这个世界中没有历史时代，没有任务体系，用户的角色或者NPC在这个世界中完全自由，不必受传统网游的剧情、主线任务、副本、各种繁琐系统等束缚。更自由、更真实、更具交互性和代入感，全球玩家体验到的将是一个真正次世代的高自由度武侠世界。        </div>
      
      [查看详细]"
新倩女幽魂,2.5D,半写实,网易,网易(大陆),玄幻,即时,免费,11580,大型角色扮演,"游戏于2009年04月入库，
                  共7次测试",《新倩女幽魂》是由网易开发的一款2.5D玄幻网游。游戏中动人的曲调和唯美的画卷，引领玩家走进世外桃源般的江南水乡，更上天入地历经三界之变，谱写一个个人鬼妖仙间生与死、爱与恨、情与仇的动人故事。
盖世豪侠,2D,Q版,莲蓬网络,珠海心游(大陆),武侠,回合,道具收费,1359,大型角色扮演,"游戏于2014年05月入库，
                  共14次测试",《盖世豪侠》每门派可同时学习3套武学技能，8个门派共计24套；游戏里能收集削铁如泥的神兵利刃，碰到千奇百怪的奇毒机关。武侠名人玩法让你可以结交并携带如东方教主、西门飞雪、一叶孤城等等经典名人出战，对上无数枭雄恶霸，你将与他们一起演绎出属于自己的武林传奇！
画江山,2D,Q版,天穹游戏,天穹游戏(大陆),玄幻,回合,免费,1644,大型角色扮演,"游戏于2014年07月入库，
                  共13次测试",《画江山》是天穹游戏自主研发并运营的Q版仙侠回合制MMORPG休闲免费网游。游戏有八大门派，五大核心特色，游戏轻松休闲适合上班族、学生族的网游。
蒸汽战争,3D,写实,,,历史,即时,一次性付费,6,大型角色扮演,"游戏于2017年05月入库，
                  共1次测试","《蒸汽战争》（暂译，Steam Hammer）是一款将背景设定在蒸汽朋克时代，并带有生存游戏元素的重口味沙盒RPG游戏。在《蒸汽战争》中，你可以扮演探险家，工匠，建筑师，工业家或者征服者，不论是锻造武器铠甲，建造房屋工厂塔楼，还是驾驶飞艇，穿喷气背包，亦或冲锋陷...          
        <div>
          《蒸汽战争》（暂译，Steam Hammer）是一款将背景设定在蒸汽朋克时代，并带有生存游戏元素的重口味沙盒RPG游戏。在《蒸汽战争》中，你可以扮演探险家，工匠，建筑师，工业家或者征服者，不论是锻造武器铠甲，建造房屋工厂塔楼，还是驾驶飞艇，穿喷气背包，亦或冲锋陷阵，抵抗敌人，一切尽等你来尝试。在这个游戏世界中，有40多种武器和铠甲，30多种房屋和防御工事。还不快来建造属于你的飞艇战队，在陆战空战中大显身手。        </div>
      
      [查看详细]"
梦幻西游,2D,Q版,网易,网易(大陆),玄幻,回合,免费,2738,大型角色扮演,"游戏于2004年11月入库，
                  共4次测试",《梦幻西游》（曾用名《梦幻西游2》，现更名《梦幻西游电脑版》）是一款由中国网易公司自行开发并营运的网络游戏。游戏以著名的章回小说《西游记》故事为背景，透过Q版的人物，试图营造出浪漫的网络游戏风格。
绝地求生,3D,写实,BlueHole,BlueHole(欧美),现代,即时,未确定,163,第三人称射击,"游戏于2016年12月入库，
                  共1次测试","绝地求生(Playerunknown's Battlegrounds)，是Bluehole与《H1Z1》、《武装突袭3》“大逃杀”模式制作人Playerunknown合作的一款开放世界策略射击游戏。绝地求生采用虚幻4引擎制作。玩家们会在一个偏远的岛屿上出生，然后展开一场赢家通吃的生存竞赛，最后...          
        <div>
          绝地求生(Playerunknown's Battlegrounds)，是Bluehole与《H1Z1》、《武装突袭3》&ldquo;大逃杀&rdquo;模式制作人Playerunknown合作的一款开放世界策略射击游戏。绝地求生采用虚幻4引擎制作。玩家们会在一个偏远的岛屿上出生，然后展开一场赢家通吃的生存竞赛，最后只会有1个人存活。当然，和其他生存游戏一样，玩家需要在广袤复杂的地图中收集武器、车辆、物资，而且也会有安全区域不断缩小的机制。        </div>
      
      [查看详细]"
封天2,3D,半写实,千贝互娱,珠海心游(大陆),玄幻,即时,道具收费,671,大型角色扮演,"游戏于2013年02月入库，
                  共15次测试","《封天2》（原名：《封天》）是由千贝互娱开发，珠海心游科技代理的以PK玩法为主的3D仙侠类网游。游戏以《封神演义》、《西游记》为蓝本，展现封神一千五百年后，佛、魔、道三教在人间越演越烈的教统之争。爆钱、爆装备—传奇经典PK玩法，大规模城战—天庭...          
        <div>
          《封天2》（原名：《封天》）是由千贝互娱开发，珠海心游科技代理的以PK玩法为主的3D仙侠类网游。游戏以《封神演义》、《西游记》为蓝本，展现封神一千五百年后，佛、魔、道三教在人间越演越烈的教统之争。爆钱、爆装备&mdash;传奇经典PK玩法，大规模城战&mdash;天庭争夺战等，为游戏的主要玩法特色。        </div>
      
      [查看详细]"
枪火游侠,3D,半Q版,Hi-Rez Studios,腾讯(大陆),奇幻,即时,道具收费,379,动作角色扮演,"游戏于2015年08月入库，
                  共3次测试",《枪火游侠》（曾用名：帕拉丁）游戏过程以射击竞技为主，双方团队需要为了夺取和保持控制点进行对战，最终目标是摧毁敌方的基地，同时保卫自己的家园。在《枪火游侠》中，还含有策略、角色培养等元素。
西游降魔录,3D,半写实,桥游游戏,乐游游戏(大陆),玄幻,即时,免费,269,大型角色扮演,"游戏于2016年11月入库，
                  共5次测试","《西游降魔录》是郑州乐游旗下一款3D魔幻网游，改编自著名经典小说“西游记”，游戏以独特的画风，精美的制作力求还原经典，游戏当中你可以看到水帘洞、女儿国等经典场景，也可以体验到在天庭战场的飞行战斗，研发商更结合了现在主流的战斗玩法，让玩家体...          
        <div>
          《西游降魔录》是郑州乐游旗下一款3D魔幻网游，改编自著名经典小说&ldquo;西游记&rdquo;，游戏以独特的画风，精美的制作力求还原经典，游戏当中你可以看到水帘洞、女儿国等经典场景，也可以体验到在天庭战场的飞行战斗，研发商更结合了现在主流的战斗玩法，让玩家体验到穿越时空的PVP乐趣。        </div>
      
      [查看详细]"
灵山奇缘,2.5D,半写实,腾讯,腾讯(大陆),玄幻,回合,道具收费,181,大型角色扮演,"游戏于2016年07月入库，
                  共2次测试","灵山奇缘（曾用名：代号零），是腾讯出品的一款回合制MMORPG网游。灵山奇缘的战斗方式采用了回合制的经典模式，并在画面表现、战斗、宠物、装备、技能等核心系统中进行了大量的探索与创新，游戏中包含大量丰富的休闲趣味玩法，为玩家营造轻松愉悦的游戏氛围。游戏画...          
        <div>
          灵山奇缘（曾用名：代号零），是腾讯出品的一款回合制MMORPG网游。灵山奇缘的战斗方式采用了回合制的经典模式，并在画面表现、战斗、宠物、装备、技能等核心系统中进行了大量的探索与创新，游戏中包含大量丰富的休闲趣味玩法，为玩家营造轻松愉悦的游戏氛围。游戏画面精致唯美，游戏场景还原了中国唐朝时期和《西游记》中的地理地貌，并采用3D技术实现了高品质的人物形象，使玩家在游戏中感受到身临其境的极致视觉体验。        </div>
      
      [查看详细]"
镇魔曲,2.5D,半写实,网易,网易(大陆),玄幻,即时,未确定,13906,大型角色扮演,"游戏于2012年11月入库，
                  共8次测试",《镇魔曲》（测试期名称：《藏地传奇》）是网易游戏2012年以来推出的一款2.5D新游，为2.5D玩家新需求量身打造：体验式剧情带来探险成长体验，无锁定战斗模式解锁Tab键，游戏内置交易平台支持RMB直接交易，体验轻松不累。
装甲战争,3D,写实,黑曜石娱乐,空中网(大陆),现代,即时,未确定,200,第三人称射击,"游戏于2014年03月入库，
                  共1次测试",《装甲战争》是一款由黑曜石娱乐打造的以坦克作战为主，囊括了几乎全部的现役装甲载具，同时支持PVP与PVE模式的大型免费多人在线游戏。
虚幻争霸,3D,写实,Epic Games,腾讯(大陆),科幻,即时,未确定,109,MOBA,"游戏于2015年12月入库，
                  共1次测试",虚幻争霸（曾用名：帕拉贡），是一款以虚幻4引擎打造的《战争机器》风格的5V5竞技射击MOBA游戏，游戏规则为5v5，EPIC承诺本作将拥有爆炸性的动作、直接的第三人称控制和深度的战略选择。玩家可以在游戏中收集卡片，解锁更多的战略选择，以保证游戏深度。
